,proverb,meaning,example
515,کلاهش پشم نداره,غیرت و هیبت و جربزه نداد.,
516,خدا روزیت را جای دیگری حواله کند,!کنایه از این که اینجا یا نزد گوینده، چیزی عاید مخاطب یا شخص موردنظر نخواهد شد,برو عمو، خدا روزیتو جای دیگه حواله کنه. ما چیزی نداریم به کسی بدیم، خودمون برای ده شاهی انگ می اندازیم.
517,میرزا بنویس,. [ ب  ن  ] ( ص مرکب ) در تداول عوام ، ان که اندک سوادی در حد نوشتن دارد. دارای کوره سواد. ان که مختصر نوشتن تواند. نویسنده عامی و کم سواد. نویسنده بی ارز. میرزایی بیسواد. ( از یادداشت مؤلف ).,
518,شانه خالی کردن,. [ ن  یا ن  ک  د ] ( مص مرکب ) اعراض کردن. روگردانیدن. سرپیچیدن. سر باز زدن. شانه تهی کردن. ( مجموعه مترادفات ص 44 ). از زیربار بیرون رفتن وترک کردن چیزی و بیشتر با لفظ بار استعمال میشود.- امثال : فلان از زیر بار حکومت شانه خالی میکند. ( فرهنگ نظام ).اعراض کردن و بهانه نمودن مرادف  و مضایقه نمودن است. ( بهار عجم ) ( انندراج ) : روی تلخی که ببینی ز بزرگی چون موج شانه خالی کن از او گر همه دریا باشد.تأثیر ( از بهار عجم ).|| ترک تعلقات کردن. ( مجموعه مترادفات ص 89 ).,
519,خوش و بش کردن,. [ خوش  یا خش  ش  ب  ک  د ] ( مص مرکب ) خوش امد گفتن. احوال پرسیدن. ( یادداشت مؤلف ).,
520,مثل پنجه افتاب,کنایه از ادم بسیار زیبا و دلربا.,
521,موش و گربه بازی,رفتاری توأم با تعقیب و گریز و امیخته با فریب و خدعه و ریا.,
522,زیر بلیط در اوردن,تحت اختیار گرفتن.,
523,بزن بر طبل بی عاری که ان هم عالمی دارد,در زندگی خود را به بی عاری، بی دردی و بی خیالی زدن.,
524,موس موس کردن,. [ ک  د ] ( مص مرکب ) اواز براوردن از لبهای جمعامده و نفسهای ارام به توالی به درون کشنده. || ( اصطلاح عامیانه ) دم جنبانیدن و پوزه به پر و پای کسی مالیدن چنانکه سگ. مانند سگ دهان سودن به هرجای. ( یادداشت مؤلف ). مانند سگ دنبال کسی با حال تبصبص و تملق یا تملقی سخت رفتن. به تملق همیشه دنبال کسی رفتن به انتظار سودی. تملقی به دنائت. مثل سگ که برای صاحبش دم جنباند تملق و تبصبص نمودن. تملق نمودن با عمل و گفتار. تملق و چاپلوسی. ( یادداشت مؤلف ).,
525,نقل مجلس,. [ ن  ل  م  ل  ] ( ترکیب اضافی ، ا مرکب ) اجیل و تنقلی که در مجلس مهمانی و شب نشینی صرف کنند. شب چره : به شب نشینی زندانیان برم حسرت که شان دانه های زنجیر است.؟ || مشهور و مذکور مجلس. ( انندراج ). سخنی که مورد بحث و مایه سرگرمی اهل مجلس و محفلی باشد. کسی که ذکر اعمال و رفتار او موضوع بحث مجلسیان باشد : میان پسته لبان  این سخن است که هست شور جهان پسته های قندی ما.اصفی ( از انندراج ).-  شدن ؛ موضوع بحث و گفتگوی محفل و مجلس شدن. زبان زدهمگان شدن. مورد اشاره یا تمسخر دیگران واقع شدن : در جهان زاهد مرتاض ز بی مغزی ها شده است از پی بادامی چند.قبول ( از انندراج ).|| مسخره. بذله گو. لطیفه گو. || بازی و قمار و لطیفه و بذله و هرچیز خوش ایندی. ( ناظم الاطباء ).,
526,سیلی نقد به از حلوای نسیه,هرچه نقد به دست اید هر چند کم و اندک باشد بهتر از چیزی است که زیاد اما دیر و با وعده و وعید به دست اید.,
527,گاو خوش اب و علف,کسی که از هیچ نوع خوردنی رو گردان نیست، هر چه پیشش ببیند بدون اکراه و با اشتهای تمام می خورد,
528,استخوان لای زخم گذاشتن,مشکلی یا مسئله ای را کاملا حل نکردن ولی ان را حل شده اعلام کردن,این موضوع باید به طور ریشه ای حل شود. استخوان لای زخم گذاشتن دردی را دوا نمی کند.
529,چاشنی کردن چیزی,چیزی را با زبان بازی و چرب زبانی فروختن؛ قالب کردن چیزی,گالش پوسیده را به دوبرابر قیمت چاشنی کردن، این کاسبی نیست، این دزدی است.
530,خدا را بنده نبودن,بسیار مغرور یا متکبر بودن؛ فخر فروختن,از وقتی که یک عنوان دکتر جلوی اسم شوهرش اضافه شده، دیگه خدا رو بنده نیست.
531,بخت یکبار در خونه ادم را می زنه,اشاره به اینکه باید از فرصت های بدست امده حدکثر استفاده را برد.,
532,سالار,اسم:  (پسر) (فارسی) (تاریخی و کهن) (تلفظ: sālār) (فارسی: ) (انگلیسی: salar)  معنی: سردار سپاه، فرمانده لشکر، بزرگ، حاکم، شاه، رهبر، والی، قائد، ( در گفتگو ) دارای صفات ممتاز و برجسته در نوع خود، مهتر، فرمانده سپاه برچسب ها: اسم، اسم با س، اسم پسر، اسم فارسی، اسم تاریخی و کهن,
533,شتر و گاو پلنگ,هر چیز نامعلوم و غیر مشخصی که از ان نتوان سر در اورد. عدم تناسب اجزاء تشکیل دهنده یک چیز. کنایه از زرافه.,
534,همه را برق می گیره ما را چراغ نفتی,گله از بدشانسی توسط کسی چیز غیر دلخواه مثل کار، شریک و... نصیبش شده باشد.,
535,خفه خون گرفتن,لال شدن و دم بر نیاوردن.,
536,نزده رقصیدن,بدون دلیل یا بهانه کاری را انجام دادن؛ برای انجام کاری منتظر موقعیت یا بهانه ی خاص یا مساعد بودن زمینه باقی نماندن,- مبادا بهانه دستش بدی ! این بابا خودش نزده می رقصه.  - دوستان عزیز، این ها خودشان نزده می رقصند، شما دیگر چرا هم نوایی می کنید؟
537,هفت تا دختر کور و کچل داشته باشه یک شبه شوهر می ده,اشاره به ادم زبل و زبان باز و شارلاتان.,
538,خدای جای حق نشسته,هنگامی که کسی نتواند حق تضییع شده خود را از زورگو بگیرد و مظلوم واقع شود مطمئنا خداوند حق او را خواهد گرفت و ستمگر را مجازات خواهد کرد.,
539,هر کی به فکر خویشه کویه به فکر ریشه,نباید به دیگران امیدوار و متکی بود زیرا هر کس در فکر گذراندن امورات خود و رسیدن به مقصود خود است.,
540,اسم بدنامی,ننگ و نامه روی کسی امدن.,
541,سر بی گناه پای دار می رود اما بالای دار نمی رود,بی گناه ممکن است برای مدتی متهم شود، اما بالاخره بی گناهی اش ثابت می شود.,
542,ماجرا کردن,. [ ج  ک  د ] ( مص مرکب ) از عالم درد دل کردن ، بمعنی اظهار درد دل کردن و جنجال نمودن. ( از انندراج ). قصه کردن. بیان حال کردن : خوش ان زمان که دگر سوی بینی و شنوی چو من بگریه خون ماجرای خویش کنم.امیرخسرو ( از انندراج ). || گفتگو کردن. مباحثه کردن. مکابره کردن : مجدالدین بازنش ماجرائی می کرد؛ زنش بغایت پیر و بد شکل بود؛ گفت خواجه کدخدائی چنین نکنند که تو می کنی. ( عبید زاکانی ).ای انکه با شکسته دلان ماجرا کنی ما از توایم اگر بکشی ور رها کنی.مسیح کاشی ( از انندراج ).و رجوع به ماجرا شود.,
543,خز,. [ خ  ] ( ا ) بلندی بیرون ران. ( از برهان قاطع ) ( ناظم الاطباء ) ( انندراج ) ( انجمن ارای ناصری ) : از بلندی و ز پهنی و بزرگی که نمودراست گفتی که نه شیر است هیونی است کلان مهره گردن چون تخم سپندان کردی بختیی را که سر و دست زدی بر  ران.حکیم ازرقی ( از انندراج ).|| نشسته براه رفتن هم هست چنانکه طفلان روند. ( برهان قاطع ) ( از ناظم الاطباء ) ( از انندراج ).. [ خ زز ] ( ع مص ) خار بر سر دیوارنهادن تا کس برامدن نتواند. ( منتهی الارب ) ( از تاج العروس ) ( از اقرب الموارد ) ( از لسان العرب ). پرچین بردیوار نهادن. ( از تاج المصادر بیهقی ) ( المصادر زوزنی ). || به تیر و نیزه دوختن. ( منتهی الارب )( از تاج العروس ) ( از اقرب الموارد ). منه : ه بسهم. || بهم بازدوختن. ( تاج المصادر بیهقی ).. [ خ زز ] ( ع ا ) جانوری است معروف که از پوست ان پوستین سازند. ( برهان قاطع ). جانوری مانند سمور که از پوست وی پوستین سازند. ( ناظم الاطباء ). ج ، وز. ( منتهی الارب ). داود ضریر انطاکی می گوید: حیوانی است بحری چهارپای در حجم گربه ای که رنگش به سبزی زند و از پوست ان لباس های نفیس کنند و پادشاهان بکار برند. مؤلف لغت نامه در وصف این حیوان می گوید: «در زمان ما حیوانی است چون گربه دوماهه و باریکتر از ان با دمی دراز و پرپشم کمی کوتاهتر از تن او و پشم ان رنگی زرد مایل بسیاهی و شفاف دارد و در طهران مکرر زنده ان را دیده ام که از اراضی اطراف پایتخت گرفته اند و او در کافتن زمین سخت چابک باشد و در مدت نیم ساعت دیدم در باغچه بیش از ذرعی سوراخی کرده ، پوست ان را پوستین کنند». جانوری است مانند سمور که پوست سیاه دارد و در بلاد روس و ر خاصه سینبر بسیار است و از پوست ان پوشش کنند و سیاه ان را به ترکی قرا خوانند. ( انندراج ). غنم البحر. کلب الماء : ب و قاقم و سمور و سنجاب بزیورهای نغز و در خوشاب.( ویس و رامین ).صاحب ذخیره گوید:  حیوانی است که گند ان بیدستر است. || پوست ؛ پشم وپوست ان : شکم بدلطیف و درخشان بلورولیکن بنرمی چو  و سمور.فردوسی.دوصد درج در و عقیق بلورهزار و چهل تنگ  سمور.( گرشاسب نامه ).مراد از  پوست حیوانی است که از سمور کوچکتر و معروف است در دوم گرم و خشک و پوشیدن او جهت نقرس و فالج و ضعف باء و رفع جذام و حکه سریعالاثر و موی سوخته او جهت قطع نزف الدم و خشک کردن جراحات و اشامیدن او جهت فتق و اعصاب و اعضاء عصبانی نافعاست. ( از تحفه حکیم مؤمن ). بعضی برانند که پوستهایی [  و غیره ] که در این ایات مذکور است پوست حیوانات صحرائی می باشد مثل دلفین و دوکونج و گاو بحری برخی برانند که اسم حیوانی است که اهالی سوریه ان را خریر گویند و همین لفظ را برای گاو بحری نیز استعمال نمایند. ( قاموس کتاب مقدس ). || جامه ابریشمین. ( ناظم الاطباء ) ( از برهان قاطع ). جامه ای که از ابریشم بافند. ( یادداشت بخط مؤلف ). جامه ای است که تار و پود ان از ابریشم است. ( زمخشری ) : بیشتر بخوانید ...,
544,گرم گرفتن,. [ گ  گ  ر ت  ] ( مص مرکب )  با...؛ بدوستی و مهربانی با کسی رفتار کردن. معاشرت کردن.,
545,هشتش گرو نهش است,فقیر و بی چیز، کسی که از لحاظ مالی در زندگی لنگ بوده و به سختی روزگار بگذراند.,
546,عیب می جمله بگفتی هنرش نیز بگوی,کسی یا چیزی را که فقط بدی ها و عیوبش را بیان کنند و خوبی ها و مهارتش را نادیده بگیرند.,
547,هم از توبره می خوره هم از اخور,ادم رند و زرنگی که در کار یا معامله و یا موقعیتی از هر طرف به سود خود حرف زده و حساب کند.,
548,فوت کوزه گری,اصطلاح  در واقع یکی از امثال و حکم ( ضرب المثل ها ) است و در اشاره به کسی به کار می رود که همه چیز را برای انجام کاری می داند به جز یک نکته مهم و نهایی. یا به عبارت ساده تر یعنی همه چیز می داند ولی نکته مهم را نمی داند.wiki: گزارش تخلف یا اشتباه در معنی,
549,نازک تر از گل به کسی نگفتن,با کسی بسیار با مهربانی یا احترام سخن گفتن,در تمام عمر زندگی مشترکشان نازک تر از گل به زنش نگفت.
550,سایه کسی را با تیر زدن,دشمنی و کینه بیش از حد نسبت به کسی داشتن.,
551,به اسب شاه گفتند یابو,به کسی که از کوچک ترین حرف یا حرکتی ناراحت شده و قهر کند.,
552,گربه دستش به گوشت نمی رسه میگه بو میده,کسی که از بدست اوردن یا انجام خواسته و موقعیت مورد نظرش محروم و ناامید شده روی ان چیز عیب می گذارد و اینطور خود یا دیگران را قانع می کند که مناعت طبع دارد.,
553,کاسه کوزه را به هم زدن,به هم ریختن بساط و زندگی، شر و فساد و خسارت و خرابی به بار اوردن.,
554,مثل انار ترکیدن,کنایه از ترکیدن بغض و به شدت به گریه افتادن.,
555,سالی که نکوست از بهارش پیداست,چیز یا کار بد و نادرستی که اخر و نتیجه اش از همان اول معلوم باشد.,
556,سگ دو زدن,. [ س  دیا دو ز د ] ( مص مرکب ) این سو و ان سو رفتن و فعالیت بسیار کردن بدون اخذ نتیجه. ( فرهنگ فارسی معین ).,
557,لب ولوچه ی اویزان,حالت سرخوردگی یا ناامیدی یا ناخشنودی,وعده ی اب تنی در دریاچه و درازکشیدن زیر افتاب را به خودمان داده بودیم، اما باران شدیدی گرفت و ما با لب ولوچه ی اویزان برگشتیم. توضیح: همچنین ← «سبیل کسی اویزان شدن»
558,به جایی برنخوردن,زیانی یا اسیبی درپی نداشتن؛ چیز قابل توجهی نبودن,- خوب، من وقت داشتم و این کار را برای ان ها کردم، به جایی که برنمی خورد.  - کرور کرور پول های ملت را می خورند و می برند، حالا گیرم چندغاز هم گیر این بدبخت ها امده باشد، به جایی برنمی خورد.
559,کاسه همان کاسه است و اش همان اش,چیزی تغییر نیافته و کارها برهمان منوال پیشین است.,
560,دندان تیز کردن,چشم طمع به چیزی یا کسی دوختن.,
561,دنبال سوراخ موش گشتن,از ترس در جستجوی راه فرار یا مخفیگاه بودن؛ به وحشت افتادن,سیاست همین است. حاکمان امروز در اوج قدرتند و ای بسا که فردا باید دربه در دنبال سوراخ موش بگردند.
562,گوشی دست کسی امدن,حقیقت موضوعی را فهمیدن و حواس خود را جمع کردن.,
563,سر دراوردن از چیزی,چیزی را فهمیدن؛ به ریزه کاری های چیزی اگاه بودن,من از کامپیوتر زیاد سر درنمی ارم. هروقت در موقع کار اشکال پیدا می کنم باید صبر کنم تا یکی از بچه ها بیاد و مسئله رو حل کنه. توضیح: همچنین ← «به چیزی وارد بودن»
564,سوار درخت انگور,مست، کسی که شراب زیاد خورده و تلو تلو می خورد.,
565,کره خوری,. [ ک  ر یا ر خو یا خ  ] ( ا مرکب ) ظرفی خاص نهادن مسکه را. ( یادداشت مؤلف ). ظرف مخصوص کره.,
566,کاسه ی صبر کسی لب ریزشدن,صبر یا تحمل کسی به اخر رسیدن,زن گفت دیگه کاسه ی صبرم لب ریز شده، می رم طلاقم رو می گیرم. مهرم حلال، جونم ازاد.
567,جوات,. [ ج  ] ( ع امص ) اسم است مجاوتة را، و مجاوتة با کلمه جوت جوت شتر را خواندن است. ( منتهی الارب ). خواندن شتر را بسوی اب با جوت جوت. ( اقرب الموارد ).جواة. [ ج  ] ( ع ا ) غلاف دیگ. ( منتهی الارب ). چیزی که دیگ بر روی ان نهند. رجوع به جواء و جیاء و جیاءة و جیاوة شود.,
568,حق گرفتنی است نه دادنی,نباید منتظر رسیدن حق و حقوق خود شد بلکه باید به دنبال ان رفت و ان را مطالبه کرد؛ زیرا کسی ان را به ادم تعارف نمی کند.,
569,دم دراوردن,(  ) . [ د د و د ]( مص مرکب ) دم دار شدن. دارای دم شدن. دم پیدا کردن. دم روییدن بر. || به نوی اغازیدن عدم اطاعت. از حد خود تجاوز خواستن ( زیردستی نسبت به زبردست ). تجاوز کردن زیردستی از حد خود. ( یادداشت مؤلف ).,
570,لی لی به لالای کسی گذاشتن,لوس کردن و به دل کسی را امدن.,
571,نشخوار ادمیزاد حرف است,اگر پرگویی می کنم ایرادی ندارد، حرف زدن خود نوعی از سرگرمی است.,
572,به ریش کسی خندیدن,کسی را مسخره کردن؛ به نادانی یا ناشی گری کسی خندیدن,- طمع از خیر کسان ببرید تا به ریش مردم توانید خندید.  ( رساله ی صدپند – عبید زاکانی )   - اموال مردم را بالا کشیدند و به ریش ملت هم خندیدند.
573,چتر خود را باز کردن,وقتی گفته می شود که کسی ناخوانده به خانه ی کسی برود و بماند,یک ماه پیش به اینجا امد و چترش را باز کرد، خیال رفتن هم ندارد.
574,قال گذاشتن,.[ گ  ت  ] ( مص مرکب ) کنایت از کسی را در برابر عمل انجام شده قرار دادن. او را در قبول ضمانت یا کفالتی فریب دادن و خود از میانه جستن. رجوع به غال شود.,
575,روز از نو روزی از نو,هرروز برای خود به تلاشی جداگانه نیاز دارد,
576,هوای کسی را داشتن,مواظب و مراقب و متوجه کسی بودن.,
577,هر سخن جایی و هر نکته مکانی دارد,سفارش به گفتن حرف به جا و به موقع، هر حرفی را همه جا نمی توان زد، بلکه باید مطابق وضع و حال افراد و مکان سخن گفت.,
578,برای هفت پشتم بسه,زیاد و بیش از اندازه بودن چیزی.,
579,سر به سنگ خوردن,بر اثر کار یا راهی اشتباه شکست خوردن و رنج و مرارت کشیدن را تحمل کردن اما تجربه اموختن، گوشمالی و تنبه شدن در اثر گردش زمان.,
580,من میگم نره اون میگه بدوش,هنگامی که عدم امکان اجام کاری را با دلیل و منطق به کسی بگویند و او باز هم به دلیل نفهمی یا زورگویی خواسته خودش را تکرار کند.,
581,اسم گذاشتن روی کسی,به کسی به ناحق تهمت زدن؛ گناهی را به ناحق به کسی نسبت دادن,همیشه همین کار را می کند. روی دیگران اسم می کذارد تا خودش را پاک جلوه دهد.
582,زیرش زدن,کار یا قول و یا حرف خود را انکار کردن.,
583,زرده به کون نکشیده,( توهین امیز ) بی تجربه یا خام,ذلیل شده ی زرده به کون نکشیده، حالا رو به من براق می شی؟ اشی برات بپزم که روش یه وجب روغن باشه،...  ( علویه خانم – صادق هدایت )
584,نان را به نرخ روز خوردن,فرصت طلب بودن؛ عقیده یا رفتار یا سرووضع خود را با شرایط روز تطبیق دادن,... خنده های تودل برو و مخصوصا پررویی را یاد بگیر. در دوره ی ما این جور چیزها باب نبود، نان را به نرخ روز باید خورد.  ( حاجی اقا – صادق هدایت )
585,سگش به این می ارزد,مبالغه در برتری چیزی یا فردی بر چیز یا فرد مشابهش.,
586,حق به حق دار می رسد,سرانجام حق به صاحب و سزاوار حق می رسد.,
587,کار هر بز نیست خرمن کوفتن گاو نر می خواهد و مرد کهن,هر کسی از عهدة هر کاری بر نمی اید. کنایه از لزوم داشتن تجربه و تخصص در انجام هر کاری.,
588,مار در استین پروراندن,شخص خیانت کار یا دشمن خطرناکی را بی اطلاع پروراندن و به او محبت و رسیدگی کردن.,
589,مثل شیر برنج,به ادم شل و وارفته و بی نمک می گویند.,
590,جوانی کجایی که یادت بخیر,کسی که به پیری رسیده باشد و با تاسف و حسرت دوران جوانی و نشاط خود را بیاد اورد.,
591,مو لای درزش نمیره,بسیار دقیق و حساس عمل کردن.,
592,سرش برای فلان کار درد می کنه,بسیار مشتاق انجام ان کار و تحمل مشکلات احتمالی اش است.,
593,شاخ دراوردن,(  ) . [ دو د ] ( مص مرکب ) در محاوره امروز بمعنی بسیار تعجب کردن است. ( فرهنگ نظام ). عظیم حیرت کردن از شنیدن یا دیدن چیزی. || در تکلم بمعنی بسیار پشیمان شدن. ( فرهنگ نظام ). رجوع به شاخ براوردن شود.,
594,بعد از سیری لقمه پنج سیری,نظیر: ادم سیر شصت لقمه می خوره.,
595,تحفه نطنز,اصطلاحا به چیز و حتی به شخص بی مقدار کم ارزش می گویند.,
596,سازمان گوشت,ادم چاق و فربه,
597,تریپ زدن,خوش تیپ کردن,
598,خود را به ان راه زدن,وانمود کردن به ندیدن یا نشنیدن یا نفهمیدن چیزی,- هر وقت سر بزنگاه به چیزی می رسیدم، خودم را می زدم به ان راه، یعنی چیزی ندیده ام.  ( میرصادقی – بادها خبر از تغییر فصل می دادند )  - خودت را به ان راه نزن، ما همه چیز را می دانیم. توضیح: همچنین ←«خود را به کوچه ی علی چپ زدن»
599,ما هم بله,ما هم در جریانیم. ما هم تو کاریم,
600,شنونده باید عاقل باشه,هر حرفی را که از دیگران شنیده می شود نباید فورا باور و قبول کرد بلکه باید با عقل و منطق ان ار سنجید.,
601,به ابدیت پیوستن,مردن ( احترام امیز ),استاد محمداصف اهنگ، اخرین نماینده ی نسل مشروطه خواهان، به ابدیت پیوست.
602,دندان روی جگر گذاشتن,شکیبایی کردن و خاموش ماندن؛ در برابر چیزی تاب اوردن,- چاره ای جز این نداریم که دندان روی جگر بگذاریم و این وضع را تحمل کنیم.  - اخر تا کی دندان روی جگر بگذارم و حرفی نزنم؟ هیچ کس نمی داند من از دست این خانواده چه می کشم.
603,خرکیف شدن,( غیرمودبانه )  خوشحال یا سرحال شدن؛ به وجد امدن؛ ذوق کردن زیاد,چندتا گیلاس عرق انداخته بود بالا و حسابی خرکیف شده بود. توضیح: همچنین ← «عشق دنیا را کردن» و ← «عرش را سیر کردن»
604,مرگ می خواهی برو گیلان,کسی که در موقعیت مناسب و ایده ال قرار گرفته و چیزی کم نداشته باشد و بازهم گله مند بوده و ناز بکند.,
605,برای خالی نماندن عریضه,انجام کاری ظاهری و نه چندان مهم و با ارزش بنا بر مصلحت.,
606,سفره نینداخته بوی مشک می دهد,تقدیم هدیه یا انجام کار بی ارزشی که زورکی و خارج از حد توان باشد، بهتر و ابرومندتر است که انجام نشود.,
607,مماس بودن,در ارتباط بودن,
608,خوشی زیر دل کسی زدن,با وجود برخورداری از رفاه و امکانات دست به کاری زدن که نتیجه ی منفی دربر داشته باشد,"اقاجان گفت: ""دختر جون، برو با شوهرت بساز. اخه مرد به این خوبی چه عیبی داره؟ معلومه که خوشی زیر دلتو زده. """
609,درز کردن,. [ د ک د ] ( مص مرکب ) شکافته شدن. ( انندراج ) : ره از تبخال پی شان لرز می کردزمین تا گاو ماهی درز می کرد.زلالی ( از انندراج ). || کنایه ازفاش گردیدن و اشکار شدن. ( از برهان ).-  مطلبی ؛ به گوشها رسیدن ان. ( یادداشت مرحوم دهخدا ). بروز کردن. داستان شدن. به دهنها افتادن. برملا شدن : ز چاک پیرهن صبح درز کرد اخرکه شب چه داشته در زیر طیلسان جفا.قدسی ( از انندراج ).انچه پنهان کرد با دل گوهر دندان اودرز خواهد کرد اخر از لب خندان او.تأثیر ( از انندراج ).|| دوختن درز پارچه یا جامه. ( فرهنگ لغات عامیانه جمالزاده ). || در اصطلاح نجاری ، صاف و صیقلی کردن کلفتی دو تخته یا چوب است به نحوی که چون روی هم قرار دهند کاملا دو سطح بر یکدیگر مماس شود، انگاه با سریشم ان دو را بر یکدیگر بچسبانند و بصورت یک قطعه دراورند. معمولا تخته های رویه میز و نظایر ان را درز می کنند و می چسبانند و انگاه روی میز می اندازند. ( فرهنگ لغات عامیانه جمالزاده ).,
610,هنوز اندر خم یک کوچه بودن,هنوز در اغاز راهی یا انجام کاری یا مرحله ای بودن,اروپایی ها در قرن شانزدهم دست به اصلاحات در مسیحیت زدند و به تدریج بر خرافات مذهبی غلبه کردند. همین اصلاحات کلید همه ی پیشرفت های بعدی علمی و اجتماعی انان بود. ما در این زمینه هنوز اندر خم یک کوچه ایم.  ( از مقاله ای از یکی از پایگاه های اینترنتی ایران ) توضیح: ریشه ی این اصط. در شعر زیر از مولانا است:  هفت شهر عشق را عطار گشت  ما هنوز اندر خم یک کوچه ایم
611,بخوبریده,حقه باز؛ متقلب؛ پشت هم انداز,این مرتیکه از ان پاچه ورمالیده های بخوبریده است.  ( حاجی اقا – صادق هدایت ) توضیح: بخو ( در اصل از ترکی ) حلقه و زنجیری است که معمولا به یک وزنه ی سنگین متصل است و به دست و پای چارپایان و محکومان می بستند. به این ترتیب بخوبریده یعنی حیوانی یا کسی که زنجیرش پاره و جلویش ول شده.  همچنین ← «پاچه ورمالیده» و «پاردم سابیده»
612,مویی از خرس کندن غنیمت است,از ادم خسیس یا بد حساب و لدهکار اگر یک چیز کوچک و بی ارزش هم گرفته شود غنیمت است.,
613,خدا خر را شناخت بهش شاخ نداد,کسی که قابلیت و لیاقت نعمتی از نعمت های خداوند را نداشته و از ان محروم باشد چرا که اگر ان نعمت را می داشت از ان سوء استفاده می کرد.,
614,ناز شست کسی,!جمله ای برای تحسین یا تشویق کسی,- ناز شستت، خیلی قشنگ درست کردی ! - ناز شستش، واقعا که استاد این کاره.
615,چشم چشم را نمی بیند,تاریکی بیش از حد.,
616,خر کسی رفتن,نفوذ داشتن,اگر او سفارش کسی را بکند، کار ان شخص در هر اداره ا ی راه میافتد. کافی است یک تلفن بزند. خلاصه خیلی خرش می رود
617,جوان ها در قفسند پیرها در هوسند,معروف است که پیرها بیشتر از جوان ها سر وگوششان می جنبد.,
618,خون که نکردم,خطا و گناهی بزرگی که مرتکب نشده ام ( حرف کسی که گرفتار مخمصه و ستم شده باشد ).,
619,جلوی حرف مردم را نمی توان گرفت,سفارش در مورد بی اعتنایی به حرف مردم.,
620,زیراب کسی را زدن,بر ضد کسی دسیسه چیدن؛ مقام یا موقعیت کسی را با دسیسه چینی از بین بردن,همان هایی که پیش خودش تملقش را می گفتند، زیرابش را زدند تا از کار برکنار شد. توضیح: پیش از پیدایش لوله کشی اب، مجرایی به نام زیراب برای خروج اب از حوض، اب انبار و مانند ان می ساختند که به چاهی راه داشت. برای خالی کردن اب مانده ی حوض یا اب انبار، این زیراب را باز می کردند تا بعد از خروج اب مانده، اب تازه به ان سرازیر کنند. در ان دوران، وقتی با کسی دشمنی داشتند، زیراب منبع اب خانه اش را باز می کردند تا همه ی اب تمیزی را که در ان دارد از دست بدهد. صاحب خانه به طبع خیلی ناراحت می شد و می گفت: زیرابم را زده اند.
621,روده بزرگه روده کوچیکه رو خورد,مبالغه برای نشان دادن شدت گرسنگی.,
622,چاردیواری اختیاری,محترم بودن خانه و زندگی هرکس، اختیار زندگی و محدوده خود را داشتن,
623,از کیسه خلیفه بخشیدن,از قول دیگری و از جیب کس دیگر وعده انجام کاری یا خرج کردن را دادن.,
624,کارد به استخوان کسی رسیدن,سختی از اندازه ی تحمل کسی گذشتن,امروز هم اگر کارد به استخوانم نرسیده بود و از زور قرض وقوله و ناچاری نبود، هرگز راضی به... نمی شدم.  ( دارالمجانین - محمدعلی جمال زاده )   دیگه کارد به استخوانم رسیده و نمی تونم این زندگی رو تحمل کنم. توضیح: نیز ← «جان کسی به لبش رسیدن» و «کفر کسی درامدن»
625,کاسه از اش گرمتر,به دلسوزی بیش از اندازه تظاهر کردن,
